Region,Asset Type,Site Name,Fuel Type,latitude,longitude
QLD1,Existing Plant,Maryrorough Solar Farm,Solar - Solar,-27.70280621,151.5412736
QLD1,Existing Plant,McNamee Partners,Solar - Solar,-27.79,151.29
TAS1,Existing Plant,McRobies Gully Renewable Energy Facility,Renewable Biomass or Waste,-42.89062407,147.2903985
TAS1,Existing Plant,Meadowbank,Hydro - Water,-42.64,146.85
NSW1,Existing Plant,Metz Solar Farm,Solar - Solar,-30.5412096,151.7963686
QLD1,Existing Plant,Middlemount Solar Farm,Solar - Solar,-22.82287596,148.7180611
VIC1,Existing Plant,Midland Highway Orrvale,Solar - Solar,-36.39,145.45
TAS1,Existing Plant,Midlands Hydro,Hydro - Water,-41.42,147.11
QLD1,Existing Plant,Millmerran Power Plant,Fossil,-27.96,151.28
SA1,Existing Plant,Mintaro GT,Fossil,-33.92,138.72
NSW1,Existing Plant,Molong Solar Farm,Solar - Solar,-33.08985971,148.9115222
VIC1,Existing Plant,Moorabool Wind Farm,Wind - Wind,-37.73954934,144.1718192
QLD1,Existing Plant,Moranbah Generation Project,Fossil,-21.96228606,148.0039918
QLD1,Existing Plant,Moranbah North,Fossil,-21.88193312,147.9579639
QLD1,Existing Plant,Moranbah Workers Solar,Solar - Solar,-22.00247606,148.0442745
NSW1,Existing Plant,Moree Solar Farm,Solar - Solar,-29.56941435,149.8673629
SA1,Existing Plant,Morgan To Whyalla Pipeline No 1 PS And Water Filtration Plant,Solar - Solar,-34.93,138.6
SA1,Existing Plant,Morgan To Whyalla Pipeline No 2 PS,Solar - Solar,-33.7,139.48
SA1,Existing Plant,Morgan To Whyalla Pipeline No 3 PS,Solar - Solar,-33.97,139.19
SA1,Existing Plant,Morgan To Whyalla Pipeline No 4 PS,Solar - Solar,-33.96,139.05
VIC1,Existing Plant,Mornington Waste Disposal Facility,Other - Other,-38.24,145.07
VIC1,Existing Plant,Mortlake,Fossil,-38.08,142.81
VIC1,Existing Plant,Mortlake South Wind Farm,Wind - Wind,-38.12771276,142.857066
VIC1,Existing Plant,Mortons Lane Wind Farm,Wind - Wind,-37.83527863,142.4662926
QLD1,Existing Plant,Mount Emerald,Wind - Wind,-36.42688042,142.2929256
NSW1,Existing Plant,Mount Majura,Solar - Solar,-35.23627099,149.1964459
QLD1,Existing Plant,Mount Sheridan Plaza,Solar - Solar,-16.99,145.74
VIC1,Existing Plant,Mount Waverley Mini Hydro,Hydro - Water,-37.87,145.13
QLD1,Existing Plant,Moura Solar Farm,Solar - Solar,-24.5138797,150.0868432
VIC1,Existing Plant,Mt Mercer Wind Farm,Wind - Wind,-37.83185593,143.8887234
SA1,Existing Plant,Mt Millar Wind Farm,Wind - Wind,-33.62555729,136.7040804
NSW1,Existing Plant,Mt Piper,Fossil,-33.36003825,150.0290425
QLD1,Existing Plant,Mt Stuart,Fossil,-19.33719767,146.8502794
QLD1,Existing Plant,Mulgrave Central Mill,Renewable Biomass or Waste,-17.09329964,145.7888666
VIC1,Existing Plant,Murra Warra Wind Farm - stage 1,Wind - Wind,-36.42295572,142.3022276
VIC1,Existing Plant,Murra Warra Wind Farm - stage 2,Wind - Wind,-36.42306811,142.3472095
VIC1,Existing Plant,Murray 1,Hydro - Water,-36.24667181,148.1902815
VIC1,Existing Plant,Murray 2,Hydro - Water,-36.24241925,148.1364741
SA1,Existing Plant,Murray Bridge - Onkaparinga Pipeline Pump 2,Solar - Solar,-35.0965261,139.210079
TAS1,Existing Plant,Musselroe Wind Farm,Wind - Wind,-40.7804692,148.0100807
NSW1,Existing Plant,Narromine Solar Farm,Solar - Solar,-32.21834959,148.2542312
SA1,Existing Plant,NAWMA Balefill Site Uleybury,Renewable Biomass or Waste,-34.67554297,138.7291163
NSW1,Existing Plant,Nevertire Solar Farm,Solar - Solar,-31.82249713,147.7035751
NSW1,Existing Plant,New England Solar Farm,Solar - Solar,-30.71579673,151.5391683
VIC1,Existing Plant,Newhaven College,Solar - Solar,-38.49,145.27
VIC1,Existing Plant,Newport,Fossil,-37.84,144.88
NSW1,Existing Plant,Nine Network Willoughby,Fossil,-33.81,151.2
QLD1,Existing Plant,Normanton Solar Farm,Solar - Solar,-17.68170741,141.0497035
VIC1,Existing Plant,Numurkah Solar Farm,Solar - Solar,-36.15904684,145.4733256
NSW1,Existing Plant,Nyngan Solar Plant,Solar - Solar,-31.5567806,147.0838117
QLD1,Existing Plant,Oakey 2 Solar Farm,Solar - Solar,-27.41453873,151.6577656
QLD1,Existing Plant,Oakey Power Station,Fossil,-27.41877712,151.6804464
QLD1,Existing Plant,Oakey Solar Farm,Solar - Solar,-27.40527121,151.6472728
